payment_id,order_id,payment_method,payment_date,amount
75,75,PayPal,2025-01-23,686.78
76,76,PayPal,2025-01-10,2210.73
77,77,Cash,2025-06-29,4008.72
78,78,PayPal,2024-07-14,547.0
79,79,Cash,2026-05-29,4682.16
80,80,Cash,2024-07-20,4237.62
81,81,Card,2024-11-19,11465.85
82,82,Card,2026-04-06,14547.52
83,83,Card,2025-02-21,394.23
84,84,PayPal,2026-05-07,8283.89
85,85,Card,2026-04-28,3300.64
86,86,Card,2024-07-21,857.12
87,87,Cash,2025-11-13,8971.41
88,88,Card,2025-11-18,5955.26
89,89,Cash,2025-04-03,4077.17
90,90,PayPal,2024-10-29,5527.7
91,91,Cash,2025-04-29,1895.36
92,92,PayPal,2026-01-26,15925.75
93,93,Card,2026-02-09,5260.87
94,94,Card,2026-03-22,6641.92
95,95,Card,2025-04-10,10226.15
96,96,Card,2026-05-11,3149.83
97,97,Cash,2025-10-04,5691.63
98,98,Card,2026-04-14,26.9
99,99,PayPal,2024-07-16,8675.55
100,100,Card,2026-05-26,1488.99
101,101,Card,2025-11-20,10070.65
102,102,Card,2025-06-17,1282.55
103,103,Card,2024-07-28,8373.07
104,104,Card,2025-04-24,119.2
105,105,Card,2025-08-06,2344.19
106,106,Card,2024-09-21,2577.47
107,107,PayPal,2025-06-17,6029.2
108,108,Card,2026-04-19,2954.07
109,109,Card,2025-11-01,3890.27
110,110,Card,2024-07-04,594.87
111,111,Card,2025-04-12,94.46
112,112,Card,2024-11-06,3522.02
113,113,Card,2025-08-29,8566.73
114,114,Card,2025-06-30,17118.91
115,115,Card,2025-11-15,4740.52
116,116,Card,2025-01-23,982.05
117,117,Cash,2025-11-17,901.29
118,118,Cash,2026-01-12,13565.34
119,119,Card,2024-08-21,3661.31
120,120,PayPal,2025-08-20,6131.84
121,121,Card,2025-08-22,4788.15
122,122,Card,2025-07-27,1199.14
123,123,PayPal,2024-12-03,1428.32
124,124,PayPal,2026-04-10,14126.06
125,125,Card,2026-02-05,1878.83
126,126,Card,2025-12-15,1018.76
127,127,Card,2026-03-23,17210.21
128,128,Card,2025-07-13,5025.17
129,129,Card,2026-03-24,4357.11
130,130,Card,2024-06-27,5034.15
131,131,Card,2026-05-24,6671.63
132,132,PayPal,2024-09-21,204.64
133,133,Cash,2026-03-17,1891.12
134,134,Card,2025-03-19,15787.55
135,135,Card,2024-08-15,2904.12
136,136,Card,2026-05-11,15324.43
137,137,Card,2024-08-03,183.06
138,138,PayPal,2024-09-08,2142.66
139,139,Cash,2024-11-26,385.11
140,140,Card,2024-09-02,809.26
141,141,Card,2026-03-19,6745.75
142,142,PayPal,2024-08-28,10487.17
143,143,Card,2025-02-13,12027.18
144,144,Card,2025-05-22,2862.44
145,145,PayPal,2024-08-25,15089.51
146,146,Card,2026-04-18,11007.97
147,147,Card,2024-07-06,16022.16
148,148,PayPal,2025-06-05,8156.16
149,149,Card,2024-10-01,11871.37
150,150,PayPal,2024-09-23,7045.12
151,151,Card,2026-02-08,3694.22
152,152,Card,2025-09-26,6883.64
153,153,Card,2026-05-26,13363.83
154,154,Cash,2026-01-26,11391.47
155,155,PayPal,2025-02-03,6928.3
156,156,Card,2026-06-25,6359.8
157,157,Card,2024-07-18,1763.01
158,158,Cash,2025-09-01,820.4
159,159,Cash,2026-03-07,4281.18
160,160,Card,2025-11-18,10749.37
161,161,PayPal,2024-08-24,6114.14
162,162,Card,2025-03-06,7937.71
163,163,Card,2026-06-17,712.43
164,164,Card,2026-06-22,4807.65
165,165,Card,2025-08-09,280.66
166,166,PayPal,2026-01-29,4799.9
167,167,Card,2025-04-15,18822.53
168,168,Cash,2026-02-07,108.29
169,169,PayPal,2024-07-27,49.66
170,170,Card,2025-05-04,119.88
171,171,Card,2024-12-11,1356.85
172,172,Card,2025-05-20,13698.94
173,173,Cash,2025-01-18,4577.5
174,174,PayPal,2025-06-21,7243.83
175,175,Card,2025-03-15,3260.81
176,176,PayPal,2025-11-09,2331.17
177,177,Card,2024-10-21,219.14
178,178,PayPal,2024-08-13,8285.02
179,179,PayPal,2024-11-15,1934.48
180,180,Card,2025-03-19,5706.43
181,181,Card,2024-07-08,445.96
182,182,Card,2024-10-09,1149.9
183,183,Cash,2025-01-20,6984.58
184,184,Card,2025-06-17,4524.38
185,185,Card,2026-02-04,7901.38
186,186,Card,2025-01-25,47.23
187,187,Cash,2024-08-09,2464.08
188,188,Card,2025-01-25,5411.13
189,189,PayPal,2025-07-14,11948.94
190,190,Card,2024-11-13,993.17
191,191,Cash,2025-11-01,7952.26
192,192,Card,2025-05-10,1908.99
193,193,Card,2024-09-24,4364.05
194,194,PayPal,2026-04-18,2576.76
195,195,Card,2025-01-20,2444.71
196,196,Card,2024-10-13,3019.93
197,197,Card,2025-03-09,6226.0
198,198,Cash,2024-08-01,2498.54
199,199,Card,2025-06-23,639.2
200,200,Card,2024-12-02,2931.2
201,201,Card,2025-12-23,7056.49
202,202,Card,2026-02-28,499.45
203,203,Card,2025-02-02,2314.64
204,204,Card,2025-11-27,8204.35
205,205,Card,2024-08-08,5213.48
206,206,Cash,2026-05-03,11475.27
207,207,Card,2025-11-29,2295.5
208,208,PayPal,2025-09-07,13714.13
209,209,Card,2026-02-07,6071.86
210,210,Card,2024-11-20,16532.31
211,211,Card,2025-11-13,5610.71
212,212,Card,2025-04-13,13737.32
213,213,Cash,2026-06-24,8409.28
214,214,Card,2025-04-18,1538.93
215,215,PayPal,2025-11-22,1032.72
216,216,Card,2026-01-26,1660.33
217,217,PayPal,2025-04-06,7434.88
218,218,Card,2024-07-15,8288.27
219,219,PayPal,2025-10-19,8673.13
220,220,Card,2025-08-18,5855.31
221,221,Card,2024-10-06,1582.9
222,222,PayPal,2026-03-17,12425.75
223,223,Card,2024-10-29,1473.7
224,224,PayPal,2024-08-25,9089.33
225,225,PayPal,2025-03-30,1414.04
226,226,Card,2024-10-17,3433.38
227,227,Card,2026-04-13,2043.19
228,228,Card,2025-11-29,4165.24
229,229,Card,2025-07-12,1288.38
230,230,Card,2024-07-28,12580.04
231,231,PayPal,2025-02-17,15598.82
232,232,Card,2025-10-15,14860.78
233,233,Card,2024-11-04,1651.01
234,234,Card,2025-07-06,3195.4
235,235,Card,2025-08-19,7997.63
236,236,Card,2024-08-06,1629.59
237,237,Card,2025-05-15,7192.57
238,238,Card,2024-07-19,502.24
239,239,Cash,2025-12-15,258.18
240,240,Card,2024-07-05,16150.12
241,241,PayPal,2024-10-31,5671.2
242,242,Card,2025-02-26,12774.09
243,243,Card,2026-04-16,7253.66
244,244,PayPal,2025-07-26,1057.61
245,245,Card,2026-05-13,9631.5
246,246,Cash,2026-02-24,6927.78
247,247,Cash,2025-07-26,10786.25
248,248,Card,2025-04-22,1143.6
249,249,Card,2026-04-04,11851.69
250,250,Cash,2026-04-06,2495.81
251,251,Cash,2025-02-23,5332.77
252,252,PayPal,2025-05-29,739.06
253,253,Card,2025-04-02,2352.4
254,254,Card,2025-05-19,5485.13
255,255,Card,2024-11-08,2188.96
256,256,PayPal,2025-03-19,4591.0
257,257,Card,2026-02-06,3230.12
258,258,Card,2026-02-03,10362.2
259,259,Card,2025-01-24,3480.06
260,260,Card,2026-01-14,293.25
261,261,Card,2025-04-07,4084.7
262,262,PayPal,2024-08-19,4551.8
263,263,Card,2026-06-09,1294.49
264,264,Card,2025-10-24,7138.44
265,265,PayPal,2025-01-31,17307.4
266,266,PayPal,2025-02-05,76.71
267,267,Card,2025-04-27,2380.72
268,268,Cash,2024-12-11,1941.0
269,269,PayPal,2024-07-15,11703.98
270,270,PayPal,2024-08-13,4727.16
271,271,Card,2024-10-02,11058.63
272,272,Cash,2026-04-29,14802.94
273,273,Card,2025-06-07,14789.47
274,274,Card,2024-08-05,5041.06
275,275,Card,2025-03-28,6479.48
276,276,Card,2025-02-05,11803.55
277,277,Card,2025-11-12,7723.05
278,278,Card,2025-12-07,4093.24
279,279,Card,2024-09-05,8851.16
280,280,PayPal,2025-02-08,6197.84
281,281,Card,2024-08-29,8284.89
282,282,Card,2024-09-22,9523.92
283,283,Card,2025-04-12,7461.13
284,284,PayPal,2025-11-25,156.58
285,285,Cash,2025-01-05,2897.64
286,286,Card,2024-09-14,4000.24
287,287,Card,2025-01-09,6354.13
288,288,PayPal,2025-02-01,529.46
289,289,Card,2026-02-03,9940.6
290,290,PayPal,2026-05-15,12324.36
291,291,Card,2024-12-04,1457.27
292,292,Card,2026-04-07,4441.14
293,293,Card,2025-02-24,15159.26
294,294,Card,2025-06-20,14338.37
295,295,Card,2024-08-15,11258.65
296,296,Card,2025-01-21,4474.39
297,297,Card,2026-06-16,664.8
298,298,Card,2026-04-30,7104.43
299,299,Card,2026-01-15,863.86
300,300,Card,2025-11-16,3844.08
301,301,Card,2024-09-30,11316.23
302,302,Card,2025-04-16,328.71
303,303,Card,2024-09-28,8679.79
304,304,PayPal,2026-02-17,5071.66
305,305,PayPal,2026-05-17,1923.06
306,306,Card,2024-06-26,2896.11
307,307,Card,2025-09-17,5333.42
308,308,Card,2025-04-19,10123.23
309,309,PayPal,2025-10-26,5481.29
310,310,PayPal,2026-03-06,1176.79
311,311,Cash,2025-07-09,3886.05
312,312,Card,2024-06-27,3544.44
313,313,Card,2024-09-16,4216.0
314,314,Card,2025-08-01,5303.52
315,315,Card,2025-01-10,5043.24
316,316,Card,2025-05-04,1657.05
317,317,PayPal,2026-02-07,5557.09
318,318,PayPal,2025-10-22,3052.14
319,319,Card,2026-06-03,11286.53
320,320,Card,2025-04-30,5796.08
321,321,Card,2025-06-03,4591.0
322,322,PayPal,2025-07-10,274.83
323,323,Card,2026-03-17,7251.93
324,324,Card,2026-05-03,7645.5
325,325,Card,2026-06-19,896.23
326,326,Card,2026-03-15,2190.08
327,327,Card,2025-04-09,9301.45
328,328,PayPal,2026-05-14,433.16
329,329,PayPal,2026-01-30,13917.91
330,330,PayPal,2024-08-28,17644.54
331,331,Cash,2026-03-16,11705.65
332,332,PayPal,2025-09-17,832.29
333,333,Cash,2025-11-09,8011.02
334,334,Card,2025-04-26,1765.09
335,335,Cash,2025-11-28,2772.72
336,336,Cash,2025-02-22,12831.36
337,337,Card,2024-08-12,335.04
338,338,Card,2025-03-31,8220.39
339,339,Card,2026-05-02,3569.8
340,340,Card,2025-10-28,2361.81
341,341,Cash,2025-11-05,4464.78
342,342,Cash,2026-05-29,11406.64
343,343,PayPal,2025-12-26,2529.94
344,344,Card,2026-02-27,11896.55
345,345,Card,2025-02-22,1549.84
346,346,Card,2026-06-21,12736.7
347,347,Card,2026-02-17,2442.68
348,348,Card,2024-07-05,4111.1
349,349,Card,2026-02-12,6849.54
350,350,Card,2026-01-08,236.74
351,351,Cash,2024-11-13,12237.69
352,352,Card,2024-08-10,984.02
353,353,PayPal,2025-02-03,4570.89
354,354,Card,2026-05-29,7165.87
355,355,Card,2025-05-14,1773.12
356,356,Cash,2026-05-14,10374.21
357,357,Card,2025-11-09,1187.34
358,358,Card,2025-01-13,7832.85
359,359,Card,2024-08-20,20131.23
360,360,Card,2025-12-22,3170.51
361,361,Cash,2024-08-13,1868.35
362,362,Card,2025-08-29,3368.71
363,363,Card,2026-06-18,104.88
364,364,Card,2026-01-08,183.06
365,365,Card,2025-08-08,2036.62
366,366,Card,2026-05-13,11829.18
367,367,PayPal,2026-01-19,9271.25
368,368,Cash,2025-09-05,627.05
369,369,Cash,2026-04-25,2882.4
370,370,Cash,2025-03-05,3936.35
371,371,Cash,2025-08-17,3767.24
372,372,PayPal,2026-03-12,4931.64
373,373,Cash,2025-03-16,9052.72
374,374,Card,2025-12-12,5598.06
375,375,Card,2025-01-29,314.64
376,376,Cash,2025-10-08,1907.31
377,377,PayPal,2025-10-10,1313.91
378,378,Card,2024-07-09,4369.56
379,379,PayPal,2024-08-19,10546.05
380,380,Card,2024-09-18,91.61
381,381,Card,2025-05-23,3257.16
382,382,Card,2026-03-22,1920.76
383,383,Card,2025-03-17,3069.84
384,384,Card,2025-11-11,5864.34
385,385,Card,2024-12-18,704.35
386,386,Card,2024-12-03,2164.22
387,387,Card,2025-08-29,5370.41
388,388,Card,2025-11-29,6917.73
389,389,Card,2025-01-28,3375.44
390,390,Card,2025-08-02,3660.45
391,391,PayPal,2024-12-03,2577.57
392,392,Card,2025-01-21,7018.15
393,393,Cash,2025-11-30,12641.95
394,394,Card,2024-08-03,2259.19
395,395,Card,2025-01-31,3375.13
396,396,Card,2025-04-06,3032.8
397,397,Card,2024-08-03,2168.07
398,398,Card,2024-10-08,19914.74
399,399,Card,2025-07-11,1792.68
400,400,PayPal,2024-07-31,139.72
401,401,Cash,2026-01-27,406.04
402,402,Card,2024-08-26,1125.09
403,403,Card,2024-11-20,5240.81
404,404,PayPal,2024-11-17,702.09
405,405,Card,2024-12-24,756.95
406,406,Card,2024-10-12,11880.1
407,407,Cash,2024-09-03,7946.3
408,408,Card,2025-09-01,6196.06
409,409,Card,2024-10-06,405.71
410,410,Cash,2024-07-27,14761.45
411,411,PayPal,2024-11-04,222.48
412,412,Card,2026-06-21,11894.19
413,413,PayPal,2025-01-09,10774.0
414,414,Cash,2026-01-28,1677.25
415,415,Card,2025-09-19,262.76
416,416,Card,2024-12-08,2637.34
417,417,Card,2025-08-02,3723.66
418,418,Card,2026-05-04,6108.8
419,419,PayPal,2024-08-03,3821.37
420,420,PayPal,2025-06-16,1586.04
421,421,Card,2025-12-07,3448.78
422,422,PayPal,2026-03-22,607.14
423,423,PayPal,2025-04-15,3172.83
424,424,Card,2025-03-13,11699.96
425,425,Card,2025-12-10,23019.3
426,426,Card,2024-08-18,15385.88
427,427,Card,2026-02-21,18109.83
428,428,Card,2025-06-30,4660.86
429,429,Card,2026-05-04,2449.43
430,430,Card,2024-06-29,6009.13
431,431,Card,2026-05-18,21589.45
432,432,Card,2025-04-09,3429.78
433,433,Card,2025-06-29,284.16
434,434,Card,2025-02-24,15442.47
435,435,Card,2025-10-14,97.75
436,436,Card,2024-07-07,4273.25
437,437,Card,2026-05-26,5976.71
438,438,Card,2025-11-04,391.3
439,439,Card,2024-07-31,1245.62
440,440,Card,2024-07-14,6236.89
441,441,Cash,2025-05-11,4046.96
442,442,Card,2025-09-27,5946.2
443,443,Card,2025-12-18,905.62
444,444,Card,2025-06-06,7509.17
445,445,Card,2026-06-04,14183.77
446,446,Card,2025-05-07,5256.57
447,447,PayPal,2024-08-01,9493.26
448,448,Cash,2025-01-06,7829.52
449,449,Card,2025-03-09,3000.47
450,450,Cash,2025-06-05,1228.62
451,451,PayPal,2025-12-23,1046.57
452,452,Card,2024-09-09,15227.09
453,453,Cash,2026-01-24,1337.26
454,454,Card,2025-01-05,268.4
455,455,Cash,2024-08-11,11368.88
456,456,Card,2025-02-08,9157.28
457,457,PayPal,2024-07-25,5375.45
458,458,PayPal,2025-05-24,6826.02
459,459,Card,2024-09-07,9961.87
460,460,Cash,2024-12-05,11904.9
461,461,Card,2025-07-16,3472.81
462,462,Card,2025-06-10,1988.31
463,463,Card,2025-11-01,3725.72
464,464,Cash,2025-09-07,4074.97
465,465,PayPal,2025-06-11,13603.47
466,466,Card,2025-12-08,8208.37
467,467,PayPal,2026-03-30,3107.88
468,468,Card,2026-02-19,6090.72
469,469,Card,2026-04-26,14423.26
470,470,PayPal,2025-11-23,2703.72
471,471,PayPal,2025-03-17,5177.87
472,472,PayPal,2025-10-10,4345.72
473,473,Card,2025-03-05,12907.15
474,474,Card,2024-11-09,6155.7
475,475,Card,2025-06-15,12570.24
476,476,Card,2025-08-05,13482.62
477,477,Cash,2025-11-23,1813.04
478,478,PayPal,2025-02-27,6646.94
479,479,Card,2026-05-16,3321.49
480,480,Card,2026-02-18,1611.54
481,481,Card,2025-08-02,916.48
482,482,Card,2025-06-17,7925.57
483,483,Card,2025-12-19,5813.63
484,484,PayPal,2026-02-03,12780.03
485,485,Cash,2026-05-13,2956.83
486,486,Cash,2024-12-09,1609.3
487,487,Card,2024-10-11,787.27
488,488,Card,2024-08-02,19304.88
489,489,Cash,2025-10-12,8879.36
490,490,Card,2024-11-05,12430.21
491,491,Card,2025-02-24,5436.64
492,492,PayPal,2024-06-28,3786.52
493,493,Card,2024-07-11,2605.34
494,494,Card,2026-03-24,114.45
495,495,Card,2025-05-16,9798.74
496,496,Card,2024-10-21,12726.45
497,497,Card,2025-04-18,10093.53
498,498,Card,2026-05-04,10041.45
499,499,Card,2024-11-20,459.96
500,500,Card,2026-05-03,3057.81
501,501,Card,2026-03-30,1526.07
502,502,Card,2025-06-21,2461.65
503,503,PayPal,2025-10-19,11628.41
504,504,Card,2025-07-31,2263.18
505,505,Card,2025-09-11,1744.45
506,506,PayPal,2025-07-17,4093.68
507,507,PayPal,2024-12-13,2777.74
508,508,PayPal,2024-06-26,3530.47
509,509,Card,2024-09-29,8261.65
510,510,Card,2025-05-28,6819.16
511,511,PayPal,2026-06-02,14000.82
512,512,Card,2024-09-01,444.96
513,513,Card,2025-02-26,5401.37
514,514,PayPal,2026-03-10,7233.68
515,515,Card,2025-11-10,16858.68
516,516,Cash,2025-07-09,9889.47
517,517,PayPal,2026-01-11,2419.14
518,518,Card,2025-01-08,6349.91
519,519,Card,2025-05-17,6269.22
520,520,Card,2025-11-19,1941.0
521,521,PayPal,2024-08-26,4852.29
522,522,Cash,2025-08-24,7859.32
523,523,PayPal,2024-09-13,9222.17
524,524,Cash,2025-09-18,545.52
525,525,Card,2024-12-06,7459.74
526,526,Card,2025-01-01,1940.15
527,527,PayPal,2025-11-17,866.45
528,528,PayPal,2025-02-26,1728.91
529,529,PayPal,2024-09-03,5515.6
530,530,PayPal,2024-07-11,9593.31
531,531,Card,2025-07-23,15421.85
532,532,PayPal,2026-01-08,1586.65
533,533,Card,2024-12-13,5564.76
534,534,PayPal,2025-12-05,19386.45
535,535,Card,2025-06-02,2361.45
536,536,Card,2025-08-06,8389.42
537,537,PayPal,2024-09-24,1745.6
538,538,Card,2024-12-10,8065.12
539,539,Card,2026-01-14,1353.08
540,540,Cash,2026-06-02,1886.16
541,541,Card,2025-03-12,12176.78
542,542,Card,2026-06-04,882.26
543,543,Card,2025-04-05,703.2
544,544,Card,2025-10-19,7605.19
545,545,Card,2024-10-02,7191.86
546,546,Card,2026-05-28,5338.1
547,547,Card,2025-05-23,6779.13
548,548,Card,2024-08-19,5161.22
549,549,Card,2025-12-06,2126.29
550,550,Card,2025-02-03,14865.0
551,551,Card,2026-01-29,813.56
552,552,Card,2026-04-06,2774.66
553,553,Card,2024-10-08,146.0
554,554,PayPal,2024-08-11,10109.77
555,555,Card,2025-02-18,5017.55
556,556,Card,2024-08-23,3053.71
557,557,Cash,2025-11-10,7343.45
558,558,Card,2025-01-28,3580.72
559,559,Cash,2025-12-15,11869.18
560,560,PayPal,2024-09-11,9486.73
561,561,Cash,2025-11-13,1867.64
562,562,Card,2026-03-28,13146.89
563,563,Cash,2026-05-16,2975.21
564,564,PayPal,2025-04-09,5262.48
565,565,Card,2025-11-18,4427.2
566,566,Card,2026-06-07,91.53
567,567,Card,2024-08-21,2111.65
568,568,Card,2024-09-11,2042.14
569,569,PayPal,2026-02-11,2286.48
570,570,Cash,2025-10-25,69.86
571,571,Card,2026-01-16,20777.58
572,572,Card,2025-09-23,9471.72
573,573,Card,2026-03-09,9437.82
574,574,Card,2025-12-18,42.25
575,575,Card,2025-01-16,3916.85
576,576,PayPal,2024-07-24,11322.71
577,577,Card,2025-02-16,3312.51
578,578,Cash,2025-12-14,6029.2
579,579,PayPal,2026-06-12,18058.88
580,580,PayPal,2024-07-13,9896.86
581,581,Cash,2025-06-02,516.36
582,582,Cash,2025-01-15,2788.59
583,583,Card,2024-12-19,495.84
584,584,PayPal,2024-11-02,6484.31
585,585,PayPal,2026-01-19,7030.2
586,586,Cash,2025-08-05,14138.35
587,587,Card,2026-02-15,6081.52
588,588,Card,2024-11-22,13299.04
589,589,Card,2026-05-05,7001.62
590,590,Card,2025-03-09,1286.34
591,591,Card,2024-07-28,3384.41
592,592,Card,2024-11-19,5955.33
593,593,PayPal,2025-01-15,13536.26
594,594,Card,2026-01-15,4813.21
595,595,Cash,2026-06-13,8056.24
596,596,Card,2024-12-14,9804.5
597,597,Cash,2025-10-11,4655.57
598,598,PayPal,2025-07-22,15707.72
599,599,Card,2025-04-08,574.22
600,600,Card,2026-02-07,17350.59
601,601,Card,2024-08-17,519.57
602,602,PayPal,2024-10-27,26136.64
603,603,Card,2025-12-26,4658.13
604,604,Cash,2024-08-07,3813.44
605,605,PayPal,2025-06-22,1817.67
606,606,Card,2025-09-13,3716.46
607,607,Card,2025-03-17,7511.35
608,608,PayPal,2025-03-25,2978.98
609,609,Card,2025-02-20,4413.65
610,610,Card,2026-03-14,8792.54
611,611,Cash,2025-06-20,1036.48
612,612,PayPal,2024-07-12,136.14
613,613,PayPal,2025-02-09,17728.77
614,614,Card,2024-09-27,1574.3
615,615,Card,2024-07-28,5040.41
616,616,Card,2025-09-29,349.24
617,617,Card,2025-01-11,696.27
618,618,Card,2025-02-08,6300.06
619,619,Card,2025-02-04,2380.38
620,620,Card,2025-07-25,14744.08
621,621,PayPal,2026-01-26,2665.77
622,622,Card,2026-04-15,3604.19
623,623,PayPal,2024-11-20,2296.44
624,624,Cash,2026-03-24,589.23
625,625,Card,2025-09-03,8037.02
626,626,Card,2025-02-21,9215.07
627,627,PayPal,2026-04-13,891.21
628,628,Card,2025-08-09,2856.69
629,629,PayPal,2025-04-03,23585.45
630,630,PayPal,2025-10-13,1958.42
631,631,Card,2024-12-09,2061.23
632,632,Card,2024-10-18,126.75
633,633,Card,2026-01-15,6240.68
634,634,Card,2025-04-18,4552.4
635,635,Card,2026-02-11,14520.38
636,636,Card,2025-11-30,4136.73
637,637,Card,2025-03-11,6134.83
638,638,Cash,2025-12-08,6784.29
639,639,Cash,2024-08-17,6878.89
640,640,Card,2024-11-30,7536.91
641,641,Card,2024-11-06,641.85
642,642,Card,2025-10-06,3141.65
643,643,Cash,2026-01-06,198.1
644,644,Card,2024-10-15,5255.02
645,645,Card,2025-09-24,400.52
646,646,Card,2024-11-16,2533.55
647,647,Cash,2024-12-31,7377.75
648,648,Card,2025-05-04,5817.95
649,649,PayPal,2026-03-03,7865.62
650,650,Card,2025-06-13,4301.14
651,651,Card,2026-03-26,537.47
652,652,Card,2025-12-17,4950.05
653,653,PayPal,2026-05-02,1574.4
654,654,Cash,2024-07-07,340.35
655,655,Card,2024-07-04,4934.96
656,656,Card,2025-05-16,7457.39
657,657,PayPal,2026-04-18,98.64
658,658,PayPal,2026-04-28,8402.59
659,659,Card,2025-08-03,4526.36
660,660,Card,2025-07-14,10095.44
661,661,Card,2025-08-18,3029.57
662,662,Card,2025-05-12,2569.75
663,663,Card,2025-05-18,3899.05
664,664,Card,2025-12-26,10202.12
665,665,Cash,2025-09-06,15227.07
666,666,Card,2024-12-07,547.85
667,667,PayPal,2025-05-21,2852.95
668,668,Card,2024-07-15,2387.16
669,669,Card,2024-08-14,258.18
670,670,Card,2026-02-01,8324.61
671,671,Cash,2026-05-01,589.23
672,672,Card,2025-08-14,2406.65
673,673,Card,2025-08-25,5362.72
674,674,PayPal,2025-01-30,4232.97
675,675,Card,2025-09-15,6179.28
676,676,Card,2026-01-04,4450.93
677,677,Card,2025-08-22,8088.41
678,678,Card,2026-05-28,569.95
679,679,Card,2024-11-26,3890.83
680,680,Card,2025-12-25,3960.58
681,681,PayPal,2024-10-12,109.57
682,682,Card,2025-07-06,12370.45
683,683,Card,2025-12-15,8290.66
684,684,Cash,2025-09-05,8127.16
685,685,Card,2024-07-02,6051.3
686,686,Card,2024-12-21,1027.87
687,687,Card,2026-05-17,3471.31
688,688,Card,2025-07-04,4670.24
689,689,Card,2025-07-09,4726.51
690,690,Card,2024-07-28,11741.56
691,691,Card,2025-09-03,6300.47
692,692,Card,2024-10-11,2568.55
693,693,Card,2025-11-05,1439.85
694,694,Cash,2025-08-05,6683.22
695,695,PayPal,2026-05-02,1763.16
696,696,Card,2024-08-15,1727.14
697,697,PayPal,2024-07-21,3416.48
698,698,Card,2024-07-21,53.88
699,699,PayPal,2024-10-29,1317.22
700,700,Card,2025-11-20,11457.42
701,701,Card,2024-11-27,4072.55
702,702,Card,2026-06-16,306.33
703,703,Cash,2025-12-24,11086.38
704,704,Card,2025-02-23,5753.38
705,705,PayPal,2025-05-02,5932.45
706,706,Card,2026-04-01,2642.25
707,707,Card,2024-11-25,13896.73
708,708,Card,2025-06-15,595.6
709,709,Card,2024-10-06,2408.93
710,710,Card,2026-04-14,12261.75
711,711,PayPal,2024-11-10,10663.59
712,712,PayPal,2024-09-04,219.0
713,713,Card,2025-06-16,3729.59
714,714,Card,2024-07-30,2042.84
715,715,Card,2025-11-02,3654.46
716,716,Card,2026-03-31,16353.72
717,717,Card,2025-03-07,4591.0
718,718,PayPal,2025-06-02,6741.46
719,719,Cash,2025-08-14,22885.03
